timestamp,distance_m,yaw_deg
1758890361.54873,0.11,-29.54
1758890361.599144,0.1,-24.14
1758890361.6495461,0.1,-19.19
1758890361.6999617,0.1,-13.78
1758890361.7503655,0.1,-8.83
1758890361.800825,0.09,-3.44
1758890361.8513935,0.09,1.49
1758890361.9018412,0.09,6.45
1758890361.9522424,0.09,11.85
1758890362.002615,0.09,16.79
1758890362.0530317,0.09,22.2
1758890362.1034455,0.1,27.14
1758890362.1538281,0.1,32.55
1758890362.204201,0.1,37.5
1758890362.2545984,0.11,42.9
1758890362.3050108,0.11,47.85
1758890362.3554156,0.12,53.24
1758890362.4057922,0.14,58.19
1758890362.4561844,0.18,63.59
1758890362.5064688,0.18,68.55
1758890362.5568564,0.17,73.95
1758890362.6072648,0.16,78.9
1758890362.657704,0.16,84.3
1758890362.7080019,0.15,89.25
1758890362.7582994,0.15,94.65
1758890362.808599,0.16,99.6
1758890362.8588784,0.16,105.0
1758890362.909207,0.16,109.95
1758890362.959498,0.16,115.35
1758890363.0097969,0.17,120.3
1758890363.0600934,0.18,125.7
1758890363.1103828,0.19,130.64
1758890363.1606572,0.17,136.05
1758890363.2109537,0.16,141.0
1758890363.2612565,0.14,145.5
1758890363.3115523,0.13,148.64
1758890363.3618548,0.13,150.45
1758890363.4121172,0.13,151.8
1758890363.4623985,0.13,152.7
1758890363.5126867,0.12,154.05
1758890363.5629802,0.12,154.95
1758890363.6132953,0.12,155.85
1758890363.6636014,0.12,156.75
1758890363.7139003,0.12,157.64
1758890363.7642052,0.12,160.5
1758890363.8144922,0.12,160.04
1758890363.8647738,0.12,159.14
1758890363.9150631,0.12,158.25
1758890363.9653435,0.12,157.34
1758890364.0156333,0.12,156.0
1758890364.0659218,0.12,155.09
1758890364.1162174,0.13,153.75
1758890364.1665328,0.13,152.39
1758890364.2168336,0.13,150.59
1758890364.2671099,0.14,147.45
1758890364.3174095,0.15,142.5
1758890364.3677247,0.17,137.54
1758890364.4180226,0.19,132.14
1758890364.468292,0.19,127.2
1758890364.5185902,0.17,121.8
1758890364.568901,0.16,116.84
1758890364.6191962,0.16,111.45
1758890364.669482,0.16,106.49
1758890364.7197802,0.16,101.09
1758890364.770071,0.15,96.14
1758890364.8203683,0.16,90.74
1758890364.870666,0.16,85.8
1758890364.920967,0.16,80.39
1758890364.9712842,0.17,75.44
1758890365.0215778,0.17,70.04
1758890365.0718484,0.18,65.1
1758890365.1221464,0.15,59.7
1758890365.172432,0.13,54.75
1758890365.222716,0.11,49.35
1758890365.2730112,0.11,44.4
1758890365.3235495,0.11,39.0
1758890365.3739862,0.1,34.05
1758890365.4244514,0.1,28.65
1758890365.4748785,0.1,23.7
1758890365.52526,0.09,18.3
1758890365.5756176,0.09,13.35
1758890365.6259136,0.09,7.95
